0,1,jazz_guitar,ds5,2
152,4,jazz_guitar,gs4,2
155,3,jazz_guitar,fs4,2
158,1,jazz_guitar,ds4,2
128,3,electric_drum_kit,f3,2
136,3,electric_drum_kit,f3,2
144,3,electric_drum_kit,f3,2
152,4,electric_drum_kit,g3,2
128,6,electric_drum_kit,b2,2
131,6,electric_drum_kit,b2,2
132,1,electric_drum_kit,d3,2
134,6,electric_drum_kit,b2,2
136,6,electric_drum_kit,b2,2
139,1,electric_drum_kit,d3,2
142,1,electric_drum_kit,d3,2
144,6,electric_drum_kit,b2,2
147,6,electric_drum_kit,b2,2
148,1,electric_drum_kit,d3,2
150,6,electric_drum_kit,b2,2
154,6,electric_drum_kit,b2,2
157,6,electric_drum_kit,b2,2
152,2,electric_drum_kit,e3,2
155,2,electric_drum_kit,e3,2
158,2,electric_drum_kit,e3,2
128,1,muted_electric_guitar,ds5,2
136,4,muted_electric_guitar,gs5,2
130,3,muted_electric_guitar,f5,2
131,3,muted_electric_guitar,fs5,2
134,5,muted_electric_guitar,as5,2
144,1,muted_electric_guitar,ds5,2
146,3,muted_electric_guitar,f5,2
147,3,muted_electric_guitar,fs5,2
150,5,muted_electric_guitar,as5,2
152,4,muted_electric_guitar,gs5,2
154,3,muted_electric_guitar,fs5,2
155,3,muted_electric_guitar,f5,2
157,1,muted_electric_guitar,ds5,2
158,1,muted_electric_guitar,d5,2
160,1,muted_electric_guitar,ds5,2
163,1,muted_electric_guitar,ds5,2
166,1,muted_electric_guitar,ds5,2
160,1,pizzicato,ds3,2
160,1,pizzicato,ds2,2
176,3,pizzicato,fs3,2
176,3,pizzicato,fs2,2
176,3,muted_electric_guitar,fs5,2
179,3,muted_electric_guitar,fs5,2
182,3,muted_electric_guitar,fs5,2
172,5,muted_electric_guitar,as5,2
188,4,muted_electric_guitar,gs5,2
192,3,muted_electric_guitar,f5,2
195,3,muted_electric_guitar,f5,2
198,3,muted_electric_guitar,f5,2
204,1,muted_electric_guitar,ds5,2
208,1,muted_electric_guitar,d5,2
211,1,muted_electric_guitar,d5,2
214,1,muted_electric_guitar,d5,2
220,3,muted_electric_guitar,f5,2
224,1,muted_electric_guitar,ds5,2
192,3,pizzicato,f2,2
192,3,pizzicato,f3,2
208,1,pizzicato,d2,2
227,1,muted_electric_guitar,ds5,2
230,1,muted_electric_guitar,ds5,2
224,1,pizzicato,ds3,2
224,1,pizzicato,ds2,2
240,3,pizzicato,fs3,2
240,3,pizzicato,fs2,2
240,3,muted_electric_guitar,fs5,2
243,3,muted_electric_guitar,fs5,2
246,3,muted_electric_guitar,fs5,2
236,5,muted_electric_guitar,as5,2
252,4,muted_electric_guitar,gs5,2
256,3,muted_electric_guitar,f5,2
259,3,muted_electric_guitar,f5,2
262,3,muted_electric_guitar,f5,2
268,1,muted_electric_guitar,ds5,2
272,1,muted_electric_guitar,d5,2
275,1,muted_electric_guitar,d5,2
278,1,muted_electric_guitar,d5,2
284,3,muted_electric_guitar,f5,2
256,3,pizzicato,f2,2
256,3,pizzicato,f3,2
272,1,pizzicato,d2,2
272,1,pizzicato,d3,2
208,1,pizzicato,d3,2
232,4,pizzicato,gs3,2
232,4,pizzicato,gs2,2
248,5,pizzicato,as3,2
248,5,pizzicato,as2,2
264,4,pizzicato,gs2,2
264,4,pizzicato,gs3,2
280,3,pizzicato,f2,2
280,3,pizzicato,f3,2
288,1,muted_electric_guitar,ds5,2
291,1,muted_electric_guitar,ds5,2
294,1,muted_electric_guitar,ds5,2
288,1,pizzicato,ds3,2
288,1,pizzicato,ds2,2
304,3,pizzicato,fs3,2
304,3,pizzicato,fs2,2
304,3,muted_electric_guitar,fs5,2
307,3,muted_electric_guitar,fs5,2
310,3,muted_electric_guitar,fs5,2
300,5,muted_electric_guitar,as5,2
316,4,muted_electric_guitar,gs5,2
320,3,muted_electric_guitar,f5,2
323,3,muted_electric_guitar,f5,2
326,3,muted_electric_guitar,f5,2
332,1,muted_electric_guitar,ds5,2
336,1,muted_electric_guitar,d5,2
339,1,muted_electric_guitar,d5,2
342,1,muted_electric_guitar,d5,2
348,3,muted_electric_guitar,f5,2
320,3,pizzicato,f2,2
320,3,pizzicato,f3,2
336,1,pizzicato,d2,2
336,1,pizzicato,d3,2
296,4,pizzicato,gs3,2
296,4,pizzicato,gs2,2
312,5,pizzicato,as3,2
312,5,pizzicato,as2,2
328,4,pizzicato,gs2,2
328,4,pizzicato,gs3,2
344,3,pizzicato,f2,2
344,3,pizzicato,f3,2
296,1,electric_guitar,ds5,2
299,5,electric_guitar,as4,2
302,4,electric_guitar,gs4,2
312,3,electric_guitar,fs5,2
315,0,electric_guitar,cs5,2
318,5,electric_guitar,as4,2
344,3,electric_guitar,fs5,2
347,3,electric_guitar,f5,2
350,1,electric_guitar,d5,2
328,5,electric_guitar,as5,2
331,4,electric_guitar,gs5,2
334,3,electric_guitar,fs5,2
352,1,muted_electric_guitar,ds5,2
355,1,muted_electric_guitar,ds5,2
358,1,muted_electric_guitar,ds5,2
352,1,pizzicato,ds3,2
352,1,pizzicato,ds2,2
368,3,pizzicato,fs3,2
368,3,pizzicato,fs2,2
368,3,muted_electric_guitar,fs5,2
371,3,muted_electric_guitar,fs5,2
374,3,muted_electric_guitar,fs5,2
364,5,muted_electric_guitar,as5,2
380,4,muted_electric_guitar,gs5,2
384,3,muted_electric_guitar,f5,2
387,3,muted_electric_guitar,f5,2
390,3,muted_electric_guitar,f5,2
396,1,muted_electric_guitar,ds5,2
400,1,muted_electric_guitar,d5,2
403,1,muted_electric_guitar,d5,2
406,1,muted_electric_guitar,d5,2
412,3,muted_electric_guitar,f5,2
384,3,pizzicato,f2,2
384,3,pizzicato,f3,2
400,1,pizzicato,d2,2
400,1,pizzicato,d3,2
360,4,pizzicato,gs3,2
360,4,pizzicato,gs2,2
376,5,pizzicato,as3,2
376,5,pizzicato,as2,2
392,4,pizzicato,gs2,2
392,4,pizzicato,gs3,2
408,3,pizzicato,f2,2
408,3,pizzicato,f3,2
360,1,electric_guitar,ds5,2
363,5,electric_guitar,as4,2
366,4,electric_guitar,gs4,2
376,3,electric_guitar,fs5,2
379,0,electric_guitar,cs5,2
382,5,electric_guitar,as4,2
408,3,electric_guitar,fs5,2
411,3,electric_guitar,f5,2
414,1,electric_guitar,d5,2
392,5,electric_guitar,as5,2
395,4,electric_guitar,gs5,2
398,3,electric_guitar,fs5,2
352,1,electric_guitar,ds4,2
355,3,electric_guitar,fs4,2
358,5,electric_guitar,as4,2
368,3,electric_guitar,fs4,2
374,1,electric_guitar,ds5,2
371,5,electric_guitar,as4,2
384,4,electric_guitar,gs4,2
387,0,electric_guitar,c5,2
390,3,electric_guitar,f5,2
400,3,electric_guitar,f5,2
403,1,electric_guitar,ds5,2
406,3,electric_guitar,f5,2
416,1,electric_guitar,ds5,2
419,5,electric_guitar,as4,2
422,4,electric_guitar,gs4,2
424,3,electric_guitar,fs4,2
426,3,electric_guitar,f4,2
430,1,electric_guitar,d4,2
432,1,electric_guitar,ds4,2
416,1,pizzicato,ds2,2
427,1,electric_guitar,ds4,2
429,0,electric_guitar,c4,2
440,1,electric_guitar,ds2,2
440,1,electric_guitar,ds3,2
416,1,pizzicato,ds3,2
424,3,pizzicato,fs3,2
424,3,pizzicato,fs2,2
432,1,pizzicato,ds3,2
432,1,pizzicato,ds2,2
